['NNP', ',', 'CD', 'NNS', 'JJ', 'MD', 'VB', 'DT', 'NN', 'IN', '.', 'VBZ', 'VBG', 'CC', 'VBD', 'VBN', 'RB', 'TO', 'PRP', 'RBR', 'WDT', 'VBP', 'RP', 'PRP$', 'JJS', 'POS', '``', 'EX', "''", 'WP', ':', 'JJR', 'WRB', '$', 'NNPS', 'WP$', '(', ')', 'PDT', 'RBS', 'FW', 'UH', 'SYM', 'LS', '#']
['NNP', '4714', '0', '41', '16', '123', '0', '7', '5', '112', '2', '0', '6', '5', '0', '4', '5', '2', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '40', '0', '0', '0', '0', '0', '29', '0', '0', '0', '0']
[',', '0', '2525', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0']
['CD', '37', '0', '1278', '5', '64', '0', '8', '1', '12', '0', '0', '0', '4', '0', '0', '3', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['NNS', '149', '0', '8', '2487', '35', '0', '2', '0', '233', '0', '0', '9', '10', '0', '0', '14', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '14', '0', '0', '0', '0', '0', '3', '0', '0', '0', '0']
['JJ', '144', '0', '23', '11', '2553', '0', '9', '7', '75', '3', '0', '3', '12', '3', '2', '58', '29', '1', '0', '0', '0', '3', '2', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '6', '0', '4', '0', '0', '0', '0']
['MD', '0', '0', '0', '0', '0', '405', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['VB', '6', '0', '8', '0', '11', '0', '1089', '0', '22', '0', '0', '0', '6', '0', '1', '8', '1', '0', '0', '0', '0', '26', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['DT', '2', '0', '0', '0', '0', '0', '0', '3946', '3', '11', '0', '0', '0', '3', '0', '0', '8', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '11', '0', '2', '1', '0', '0', '0']
['NN', '212', '0', '15', '57', '219', '0', '11', '0', '5547', '1', '0', '5', '33', '2', '4', '5', '2', '0', '3', '0', '0', '8', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '9', '0', '0', '0', '0']
['IN', '3', '0', '1', '0', '8', '0', '0', '17', '0', '4727', '0', '0', '2', '2', '0', '0', '55', '2', '0', '0', '6', '1', '21', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '6', '0', '1', '0', '0']
['.', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1917', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['VBZ', '11', '0', '3', '26', '9', '0', '5', '0', '15', '0', '0', '1011', '2', '0', '10', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['VBG', '19', '0', '12', '2', '63', '0', '6', '0', '60', '0', '0', '5', '538', '0', '5', '30', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['CC', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1135', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['VBD', '16', '0', '1', '2', '5', '0', '6', '0', '17', '0', '0', '16', '15', '0', '1344', '95', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['VBN', '19', '0', '13', '9', '64', '0', '14', '0', '12', '0', '0', '1', '30', '0', '54', '794', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['RB', '31', '0', '3', '3', '41', '0', '4', '4', '16', '60', '0', '4', '5', '3', '2', '14', '1238', '0', '0', '4', '0', '2', '24', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0']
['TO', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '1014', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['PRP', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '924', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
['RBR', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '7', '0', '0', '44', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '32', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']
